,Unnamed: 0,date,title,cleaned title
126,126,2021-12-01,"2 Polisi Penganiaya Jurnalis Tempo di Surabaya Dituntut 1,5 Tahun Penjara",polisi aniaya jurnalis tempo di surabaya tuntut tahun penjara
127,127,2021-12-01,Apakah Pengidap Diabetes Boleh Makan Kurma?,apakah idap diabetes boleh makan kurma
128,128,2021-12-01,Fenomena Langit Desember 2021: Super New Moon dan 7 Puncak Hujan Meteor,fenomena langit desember super new moon dan puncak hujan meteor
129,129,2021-12-01,"BWF World Tour Finals: Praveen/Melati Kembali ke Ritme Permainan, tetapi...",bwf world tour finals praveenmelati kembali ke ritme main tetapi
130,130,2021-12-01,"[HOAKS] Ada Laba-Laba Berbisa di Pantai, Bisa Membunuh dalam 5 Menit",hoaks ada labalaba bisa di pantai bisa bunuh dalam menit
131,131,2021-12-01,Penis Bengkak,penis bengkak
132,132,2021-12-01,Lirik dan Chord Lagu For Memories - Wilbur Soot,lirik dan chord lagu for memories wilbur soot
133,133,2021-12-01,Bersiap Liburan? Berikut Skenario Pembatasan di Sektor Transportasi,siap libur ikut skenario batas di sektor transportasi
134,134,2021-12-01,Firli Bahuri Berharap Tak Ada Lagi Korupsi Terkait Perizinan Investasi,firli bahuri harap tak ada lagi korupsi kait izin investasi
135,135,2021-12-01,PLN Minta Maaf Pemeliharaan PLTGU Bikin Listrik di Batam Padam,pln minta maaf pelihara pltgu bikin listrik di batam padam
136,136,2021-12-01,"100 Anak Eks Pejuang Timtim Diminta Jokowi Kerja di BUMN, Eurico Guterres: Sejarah bagi Kami",anak eks juang timtim minta jokowi kerja di bumn eurico guterres sejarah bagi kami
137,137,2021-12-01,Peringatan BMKG: Banjir Rob Diprediksi Landa Pesisir Jakarta Utara 2-9 Desember,ingat bmkg banjir rob prediksi landa pesisir jakarta utara desember
138,138,2021-12-01,Hasil BWF World Tour Finals 2021 - Marcus/Kevin Atasi Rintangan Pertama,hasil bwf world tour finals marcuskevin atas rintang pertama
139,139,2021-12-01,"Lirik dan Chord Lagu Like Rain, Like Music - Baekhyun EXO",lirik dan chord lagu like rain like music baekhyun exo
140,140,2021-12-01,Langkah Membersihkan Urine Kucing pada Karpet dan Keset,langkah bersih urine kucing pada karpet dan keset
141,141,2021-12-01,"Keributan di Cililitan, Kaca Bus Transjakarta Dipecahkan Pakai Helm",ribut di cililitan kaca bus transjakarta pecah pakai helm
142,142,2021-12-01,"Bocah 7 Tahun di Bandung Dicabuli Pedagang Mainan, Korban Diimingi Uang Rp 5.000",bocah tahun di bandung cabul dagang main korban diimingi uang rp
143,143,2021-12-01,Terduga Teroris Ditangkap di Luwu Timur Berencana Serang Aparat,duga teroris tangkap di luwu timur rencana serang aparat
